0.1 0.584412 0.00493332
0.2 0.886266 0.00309058
0.3 0.999628 0.00234621
0.4 1.03134 0.001715
0.5 1.02861 0.00146321
0.6 1.00568 0.00125992
0.7 0.978817 0.00110114
0.8 0.949319 0.000995042
0.9 0.918005 0.000866149
1 0.887312 0.000803029
1.1 0.853938 0.00072458
1.2 0.82128 0.000754231
1.3 0.791563 0.000673372
1.4 0.763006 0.000657306
1.5 0.734637 0.000661686
1.6 0.708708 0.000682374
1.7 0.683352 0.000670883
1.8 0.65926 0.000708365
1.9 0.636167 0.000716585
2 0.615546 0.000782933
2.1 0.595129 0.000757838
2.2 0.577187 0.000756247
2.3 0.556909 0.000823107
2.4 0.540435 0.000791738
2.5 0.52428 0.000803194
2.6 0.509714 0.000788296
2.7 0.491939 0.000822172
2.8 0.478778 0.000805107
2.9 0.465135 0.000785475
3 0.451947 0.000809006
3.1 0.440097 0.000783157
3.2 0.429671 0.000788036
3.3 0.417586 0.000751294
3.4 0.407691 0.000760948
3.5 0.3975 0.000747938
3.6 0.388879 0.0007106
3.7 0.379008 0.000714475
3.8 0.370431 0.000677631
3.9 0.361538 0.000678205
4 0.354291 0.000656208
